time_step,hour_of_day,day_of_week,cpu_util_percent,mem_util_percent,net_in_mbps,net_out_mbps,disk_io_percent
0,0.0,0,48.65,55.32,84.92,167.78,58.42
1,0.08,0,53.54,56.69,72.0,144.09,63.59
2,0.17,0,53.06,56.57,67.53,128.7,68.11
3,0.25,0,50.42,62.21,70.46,142.68,69.7
4,0.33,0,22.59,43.55,27.9,56.67,15.15
5,0.42,0,31.69,50.64,66.41,138.0,16.66
6,0.5,0,18.59,40.25,35.05,75.77,8.9
7,0.58,0,26.96,49.97,45.17,92.75,14.35
8,0.67,0,29.82,49.12,56.73,110.19,17.18
9,0.75,0,13.53,41.64,25.43,52.73,12.69
10,0.83,0,28.25,48.54,47.18,84.92,14.79
11,0.92,0,24.8,47.21,38.75,78.27,20.95
12,1.0,0,26.58,48.58,32.85,69.08,18.3
13,1.08,0,24.67,44.9,45.01,81.88,15.5
14,1.17,0,29.69,47.05,58.83,120.02,20.16
15,1.25,0,27.33,47.4,48.43,96.38,16.73
16,1.33,0,26.67,48.37,54.36,113.92,22.88
17,1.42,0,23.21,45.31,34.09,67.94,12.62
18,1.5,0,33.11,51.45,48.7,103.84,19.59
19,1.58,0,26.73,48.26,36.72,73.85,8.18
20,1.67,0,34.89,50.27,59.8,117.39,17.16
21,1.75,0,33.81,46.72,53.03,106.53,19.06
22,1.83,0,21.04,43.46,37.4,77.12,13.97
23,1.92,0,25.17,49.81,50.56,102.53,11.87
24,2.0,0,24.05,46.5,40.08,72.51,13.24
25,2.08,0,27.73,46.2,56.92,111.75,12.91
26,2.17,0,28.79,48.46,51.43,102.17,16.72
27,2.25,0,29.18,49.48,47.08,84.81,20.43
28,2.33,0,32.31,48.26,41.35,87.65,16.69
29,2.42,0,34.1,52.82,61.22,115.65,25.76
30,2.5,0,32.52,50.63,56.29,116.03,19.04
31,2.58,0,27.44,45.15,50.58,101.47,8.67
32,2.67,0,26.94,48.84,50.23,97.55,18.07
